X,Y,Z,Name,FID,Field_1,LINEA,RUTA,SISTEMA
-99.17880548,19.4200292,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.17892328,19.41989769,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.17956765,19.41869899,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.18077521,19.4159842,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.18258152,19.41145193,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.18302929,19.41030915,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.18325985,19.4097844,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.18412757,19.40810078,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.1851691,19.40617563,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.18566932,19.40526575,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.18619217,19.40424916,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.18644489,19.40377187,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.18665733,19.40345452,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.18678314,19.40328701,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.18696687,19.40308836,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.18710276,19.40292084,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.18723869,19.40279636,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.18763653,19.4025138,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.18802683,19.40226233,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.18831164,19.40207841,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.18847218,19.4019826,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.18866108,19.40189872,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
