NOMBRE,LINEA,SISTEMA,TIPO,ALCALDIAS,AÑO,CVE_EST,lon,lat
Aculco,08,STC Metro,Intermedia,Iztapalapa,1994,STC0813,-99.1077035934306,19.37321141061217
Escuadrón 201,08,STC Metro,Intermedia,Iztapalapa,1994,STC0814,-99.10948498429173,19.3648364116397
Atlalilco,08,STC Metro,Transbordo,Iztapalapa,1994,STC0815,-99.10130942995006,19.35608448367419
Iztapalapa,08,STC Metro,Intermedia,Iztapalapa,1994,STC0816,-99.09344907670477,19.3578249372119
Cerro de la Estrella,08,STC Metro,Intermedia,Iztapalapa,1994,STC0817,-99.08561607648716,19.356047872500543
UAM-I,08,STC Metro,Intermedia,Iztapalapa,1994,STC0818,-99.07481741890497,19.351056166857287
Constitución de 1917,08,STC Metro,Terminal,Iztapalapa,1994,STC0819,-99.06379884994618,19.345968405928243
Puebla,09,STC Metro,Intermedia,Venustiano Carranza / Iztacalco,1987,STC0902,-99.08238587967575,19.40719214298364
Ciudad Deportiva,09,STC Metro,Intermedia,Venustiano Carranza / Iztacalco,1987,STC0903,-99.0912519463776,19.408433982240478
Velódromo,09,STC Metro,Intermedia,Venustiano Carranza,1987,STC0904,-99.10315771222376,19.408539286354042
Mixhiuca,09,STC Metro,Intermedia,Venustiano Carranza,1987,STC0905,-99.11296847676732,19.4083714401572
Lázaro Cárdenas,09,STC Metro,Intermedia,Cuauhtémoc,1987,STC0908,-99.14462826288435,19.407218273838726
Chilpancingo,09,STC Metro,Intermedia,Cuauhtémoc,1988,STC0910,-99.16851936424604,19.405929858827395
Patriotismo,09,STC Metro,Intermedia,Cuauhtémoc / Miguel Hidalgo,1988,STC0911,-99.1789225975409,19.40610899290181
Tláhuac,12,STC Metro,Terminal,Tláhuac,2012,STC1201,-99.0141983243777,19.286022277290176
Tlaltenco,12,STC Metro,Intermedia,Tláhuac,2012,STC1202,-99.02403074663107,19.294353379107935
Zapotitlán,12,STC Metro,Intermedia,Tláhuac,2012,STC1203,-99.03430689003962,19.296655586515058
Nopalera,12,STC Metro,Intermedia,Tláhuac,2012,STC1204,-99.04599286885365,19.299957304889258
Olivos,12,STC Metro,Intermedia,Tláhuac,2012,STC1205,-99.05951149501792,19.304321996002184
Tezonco,12,STC Metro,Intermedia,Iztapalapa,2012,STC1206,-99.06527026370269,19.306308825509696
Periferico Oriente,12,STC Metro,Intermedia,Iztapalapa,2012,STC1207,-99.07450575078416,19.317611568465104
Calle 11,12,STC Metro,Intermedia,Iztapalapa,2012,STC1208,-99.08587286436709,19.320471151871725
Lomas Estrella,12,STC Metro,Intermedia,Iztapalapa,2012,STC1209,-99.09575048151491,19.322148856344057
San Andres Tomatlán,12,STC Metro,Intermedia,Iztapalapa,2012,STC1210,-99.1045158609058,19.32814547952075
Culhuacán,12,STC Metro,Intermedia,Iztapalapa,2012,STC1211,-99.10895874517293,19.336845611079582
Mexicaltzingo,12,STC Metro,Intermedia,Iztapalapa / Coyoacán,2012,STC1213,-99.1231432322264,19.35776253608585
Eje Central,12,STC Metro,Intermedia,Benito Juárez,2012,STC1215,-99.15142336147862,19.361341237938568
Parque de los Venados,12,STC Metro,Intermedia,Benito Juárez,2012,STC1216,-99.15871771897177,19.37065883497745
Hospital 20 de Noviembre,12,STC Metro,Intermedia,Benito Juárez,2012,STC1218,-99.17088446276829,19.37201337695184
Insurgentes Sur,12,STC Metro,Intermedia,Benito Juárez,2012,STC1219,-99.17825012925253,19.373553470227108
Agrícola Oriental,A,STC Metro,Intermedia,Iztacalco,1991,STCLA02,-99.06956646430945,19.404618895931353
Canal de San Juan,A,STC Metro,Intermedia,Iztacalco,1991,STCLA03,-99.05942280066026,19.39876293119974
Tepalcates,A,STC Metro,Intermedia,Iztapalapa,1991,STCLA04,-99.04632939735716,19.391276494960067
Guelatao,A,STC Metro,Intermedia,Iztapalapa,1991,STCLA05,-99.03565960069986,19.385153887463556
Peñón Viejo,A,STC Metro,Intermedia,Iztapalapa,1991,STCLA06,-99.01705483641234,19.373305051789014
Acatitla,A,STC Metro,Intermedia,Iztapalapa,1991,STCLA07,-99.00567271685955,19.364717390396216
Santa Marta,A,STC Metro,Intermedia,Iztapalapa,1991,STCLA08,-98.99517832323626,19.36030504737167
Los Reyes,A,STC Metro,Intermedia,Estado de México - La Paz,1991,STCLA09,-98.97686678250444,19.35903746198999
La Paz,A,STC Metro,Terminal,Estado de México - La Paz,1991,STCLA10,-98.96093725042675,19.350561572133337
